routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI1Mjc=,1644795018.6224942,H1911,40,1644703200,91800,37,1,24
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMV8yNTI4,1644795018.622524,H1234,146N,1644703200,91740,90,1,31
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzI1MDM=,1644795726.8680782,H1210,30,1644703200,92400,149,35,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI1MTg=,1644795865.1306999,H1914,40,1644703200,92400,264,20,23
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI1NDI=,1644795911.3164136,H1911,40,1644703200,92700,42,1,24
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMl8yNTE4,1644795957.6450481,E2332,147N,1644703200,92400,354,26,30
VHJpcDpIU0w6MjIzNU5fMjAyMjAyMTFfU3VfMl8yNDUw,1644796003.752932,H1914,235N,1644703200,92520,311,63,66
VHJpcDpIU0w6NDQxNU5fMjAyMjAyMTFfU3VfMl8yNTA1,1644796065.279613,H1914,415N,1644703200,92760,112,52,55
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI1MzM=,1644796527.5962973,H1914,40,1644703200,93300,45,20,23
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzI1MzQ=,1644796666.0109863,H1210,20,1644703200,93420,33,21,26
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yNTU4,1644796727.5474641,H1234,147N,1644703200,93540,0,1,31
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yNTU4,1644796819.854882,H1234,147N,1644703200,93540,86,1,31
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI1NTc=,1644796866.020454,H1911,40,1644703200,93600,70,1,24
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI2MTI=,1644797697.5821986,H1911,40,1644703200,94500,36,1,24
