routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA5MzI=,1646726914.1440158,H1210,20,1646690400,36420,86,21,26
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA5MDY=,1646726945.166198,H1210,30,1646690400,36060,437,35,40
VHJpcDpIU0w6MTAyNV8yMDIyMDMwN19UaV8yXzA5NDQ=,1646726960.5558116,H1231,25,1646690400,36480,85,19,22
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA5NTM=,1646726975.952864,H1914,63,1646690400,37620,95,29,34
VHJpcDpIU0w6NDQyMV8yMDIyMDMwN19UaV8yXzA5MzY=,1646726991.3468823,H1914,421,1646690400,36600,-21,31,34
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5MzU=,1646726991.3472435,H1379,500,1646690400,36600,-32,19,27
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzEwMTA=,1646726991.3478003,H1025,21,1646690400,36600,-59,0,16
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA5MTQ=,1646727006.755398,H1914,200,1646690400,36300,275,30,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzEwMDY=,1646727022.1161275,H1911,40,1646690400,36600,14,1,24
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8yXzEwMDA=,1646727115.1643827,E2332,104,1646690400,36600,134,11,15
VHJpcDpIU0w6MjIxM18yMDIyMDMwN19UaV8yXzA5MTk=,1646727130.5365763,H1914,213,1646690400,36480,235,39,44
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8xXzEwMDg=,1646727145.9109702,H1911,411,1646690400,36720,25,1,29
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzEwMTA=,1646727176.8626022,H1234,21,1646690400,36720,44,1,15
VHJpcDpIU0w6MTAyNF8yMDIyMDMwN19UaV8yXzA5NTk=,1646727253.9088688,H1231,24,1646690400,36780,44,14,17
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA5Mzg=,1646727269.3030603,H1914,63,1646690400,36720,143,29,34
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzEwMDc=,1646727269.3035204,H1911,63,1646690400,36720,132,2,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5NDY=,1646727300.3150797,H1914,40,1646690400,37080,-193,20,23
VHJpcDpIU0w6MjM0NV8yMDIyMDMwN19UaV8yXzA5MTc=,1646727300.315118,H1914,345,1646690400,36240,644,46,49
VHJpcDpIU0w6MTAyMkJfMjAyMjAzMDdfVGlfMV8xMDE1,1646727300.3158956,H1025,22B,1646690400,36900,-32,0,9
VHJpcDpIU0w6MjMyMV8yMDIyMDMwN19UaV8yXzA5Mjk=,1646727346.7122126,H1914,321,1646690400,36900,47,41,44
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5Mzg=,1646727346.712238,H1914,40,1646690400,36600,308,20,23
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5NTI=,1646727377.5076945,H1379,510,1646690400,36900,66,13,27
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA5MTg=,1646727454.4791121,H1210,30,1646690400,36780,233,35,40
VHJpcDpIU0w6NDQxNV8yMDIyMDMwN19UaV8xXzEwMTU=,1646727531.6186619,H1911,415,1646690400,37140,-9,1,47
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA5NDU=,1646727562.552841,H1210,20,1646690400,37200,-57,21,26
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5NDU=,1646727624.3655138,H1379,500,1646690400,37200,2,19,27
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzEwMTY=,1646727624.3656573,H1911,40,1646690400,37200,13,1,24
VHJpcDpIU0w6MjQzNl8yMDIyMDMwN19UaV8yXzA5Mjg=,1646727639.7665727,H1914,436,1646690400,37020,216,44,47
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8xXzEwMjE=,1646727655.3152418,H1025,104,1646690400,37260,-50,0,15
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzEwMjA=,1646727733.7228436,H1234,21,1646690400,37320,22,1,15
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA5MjQ=,1646727779.9020042,H1914,200,1646690400,36900,478,30,33
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA5NTQ=,1646727856.88253,H1914,200,1646690400,38700,-19,30,33
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8yXzA5NTM=,1646727887.68041,H1914,411,1646690400,37500,-5,27,30
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzEwMDI=,1646727903.0698774,H1379,510,1646690400,37500,-23,13,27
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA5MzE=,1646727903.0701072,H1210,30,1646690400,37560,-87,35,40
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA5MzQ=,1646727964.6005476,H1914,200,1646690400,37500,89,30,33
VHJpcDpIU0w6NDMyMl8yMDIyMDMwN19UaV8yXzA5NDA=,1646727979.984061,H1914,322,1646690400,37440,121,36,39
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzEwMjE=,1646727979.984518,H1911,63,1646690400,37560,24,2,33
VHJpcDpIU0w6NDQyMV8yMDIyMDMwN19UaV8xXzEwMjM=,1646728010.8113985,H1911,421,1646690400,37620,-21,1,35
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5NTY=,1646728164.6343956,H1914,40,1646690400,37680,76,20,23
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8yXzEwMjA=,1646728180.002489,E2332,104,1646690400,37800,-12,11,15
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzEwMzA=,1646728195.4186592,H1025,21,1646690400,37800,-223,0,16
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzEwMzA=,1646728210.8283346,H1234,21,1646690400,37920,-104,1,15
VHJpcDpIU0w6MTAyMl8yMDIyMDMwN19UaV8xXzEwMTA=,1646728226.217331,H1025,22,1646690400,37500,303,9,18
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzEwMjY=,1646728257.0199718,H1911,40,1646690400,37800,56,1,24
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5NTU=,1646728287.7983766,H1379,500,1646690400,37800,32,19,27
VHJpcDpIU0w6MTAyNV8yMDIyMDMwN19UaV8yXzEwMDQ=,1646728287.7984962,H1231,25,1646690400,37680,203,19,22
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA5NTM=,1646728333.9872293,H1914,63,1646690400,37620,326,29,34
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzEwMzA=,1646728333.9876797,H1234,21,1646690400,37920,-25,1,15
